TIMESTAMP,SYMBOL,CLOSE,OPEN,HIGH,LOW,CALL_OI,PUT_OI,CALL_VOLUME,PUT_VOLUME,CALL_OI_CHANGE,PUT_OI_CHANGE,STRADDLE,PCR,SPOT_RETURN,SETTLE_PR,CONTRACTS,OPEN_INT,VAL_INLAKH
03-Feb-2025,BANKNIFTY,48102.50328616211,48108.557987096625,47991.56308851177,47928.72188356505,994540,1155195,91023,189473,210286,18311,754.66,0.9186,-0.1862,47922.078661688916,573321,5257974,33008.46
04-Feb-2025,BANKNIFTY,48008.31003274493,48101.08343760879,48072.680821977294,47887.00733032043,1117923,690160,101447,286156,-9068,156633,721.93,0.608,-0.3572,47916.20350713899,454245,1903081,34494.11
05-Feb-2025,BANKNIFTY,47844.403738359004,48140.18204103959,48083.57271590146,47858.418211453485,1815557,613920,366103,228964,85365,69089,536.4,0.9179,0.5596,48009.95942796997,214323,3899105,32016.06
06-Feb-2025,BANKNIFTY,47776.95341323067,48153.80912426637,48052.274181208035,47701.033185332686,1344699,1053983,146203,61015,192786,-58123,790.56,0.747,-0.3172,48090.31414219627,241922,1878892,33585.19
07-Feb-2025,BANKNIFTY,47751.66185438344,48201.4101476926,47849.9332968494,47381.905543215624,619870,1221052,240775,121813,-99388,192066,718.98,1.0246,0.5225,48211.20505469442,339139,5699591,34404.25
10-Feb-2025,BANKNIFTY,47757.89362519135,48083.657959173746,47936.0986039386,47421.78888575094,1552082,528148,89337,87712,135718,-25926,680.36,0.8091,-1.3364,48051.35895558399,330448,4654240,13964.96
11-Feb-2025,BANKNIFTY,47888.66492503194,48065.000594533856,48060.73251576384,47543.24530080005,1851772,1131899,126427,160497,135668,43121,864.19,1.0839,1.7369,47922.48971578342,326659,2156702,15542.14
12-Feb-2025,BANKNIFTY,47866.8128307904,48068.49801280811,48170.77387835335,47465.8381913416,848683,683876,185787,302926,50244,-82869,619.18,0.8612,-0.097,47902.56949771094,580192,4754600,28280.27
13-Feb-2025,BANKNIFTY,47959.24976082071,48070.86258662641,48096.55426109179,47435.78335467136,1883253,659747,242993,172816,123060,-4235,709.44,0.6343,0.0803,47931.74929274276,385659,3485296,37051.72
14-Feb-2025,BANKNIFTY,47882.21572705562,48126.82398011709,48102.17821846386,47411.74481998132,626790,1015650,375451,188778,-145191,-13116,779.06,0.9931,-1.3414,47892.85109727239,539678,3690222,18118.29
17-Feb-2025,BANKNIFTY,47849.14099221743,48127.57519169902,48116.549501178786,47495.76827995478,1411721,823570,207016,122292,13273,5917,818.59,0.707,0.1662,47723.81157441531,479728,5249783,26825.81
18-Feb-2025,BANKNIFTY,47761.7103736206,48000.9793100933,47969.353291112035,47516.88702349695,1048345,675987,346979,345977,34402,166429,683.74,0.7086,0.3813,47725.537827132495,254537,4219269,29855.43
19-Feb-2025,BANKNIFTY,47667.310026891166,48013.28459944754,47958.792691552,47506.572162155026,1349074,1427512,100159,195230,-5472,179770,836.84,0.5191,-1.8037,47671.997716073776,490621,3824797,22462.36
20-Feb-2025,BANKNIFTY,47606.23755930178,47907.63830676918,48019.4760134814,47461.01793471054,1734764,1038353,258677,253752,233432,53880,807.57,0.8292,-2.3909,47617.49859935731,391983,2286667,30841.04
21-Feb-2025,BANKNIFTY,47543.78516927452,47816.68806289746,48055.634272307456,47415.836568429666,1129036,1258158,397428,342453,-111235,161342,526.49,0.8207,-0.0476,47397.26256593246,192533,2853649,36789.36
24-Feb-2025,BANKNIFTY,47455.467095714695,47748.20735240063,47941.741167287924,47250.67964069897,1390141,417640,399187,329114,157250,-104746,518.34,0.7136,-0.9865,47423.06130229073,413972,3212503,27971.25
25-Feb-2025,BANKNIFTY,47371.52686312555,47704.2938502741,47847.73195756268,47170.000638603386,1248249,452528,246619,211456,166076,-75762,748.32,1.0365,-0.0881,47396.67762711356,151917,4485418,25272.99
26-Feb-2025,BANKNIFTY,47419.270563480866,47545.79581805875,47885.97947671662,47190.896795893736,1678931,659214,162844,340161,169235,-118748,638.97,0.5772,-1.9492,47502.29079164468,432762,5109736,22039.83
27-Feb-2025,BANKNIFTY,47548.31953603752,47600.14729327488,47911.607671707236,47122.20054154862,1311131,1370240,107532,165570,-128051,181908,583.65,0.6981,-2.2726,47458.33017992219,182254,2884418,26479.56
28-Feb-2025,BANKNIFTY,47468.447006221,47472.706020467725,47706.27497734582,47075.74858614854,1051015,901108,245421,330846,51152,195826,731.86,0.6929,-0.152,47465.63739036371,411987,1886594,19371.6
03-Mar-2025,BANKNIFTY,47402.495370415614,47563.31487023083,47484.74752568395,46931.65838790942,756542,1034421,202402,60404,149888,-38683,636.63,0.5554,-0.8197,47494.18284445213,517436,4369760,20527.43
04-Mar-2025,BANKNIFTY,47404.464090466055,47438.31873120421,47453.62496077583,46917.298940011926,1821992,555576,198012,238998,26615,-41413,714.91,0.7887,-2.9328,47316.48991975923,197362,5306503,25019.44
05-Mar-2025,BANKNIFTY,47619.426757511894,47505.87236162934,47381.452732240854,46750.35840752907,905062,1324618,136178,334907,220463,-113051,684.05,0.9127,1.2117,47487.82591548736,432272,5337247,10131.81
06-Mar-2025,BANKNIFTY,47586.15983919252,47468.59864502142,47332.58863438776,46723.549032452036,1466651,1265291,129407,209456,-57807,118897,733.91,0.807,-1.9692,47415.36252445355,535925,2592501,15328.81
07-Mar-2025,BANKNIFTY,47623.97046854443,47296.2846893459,47274.685387134974,46658.57103594414,1710205,1286089,130990,251172,-113813,197537,660.12,0.5942,2.688,47416.927852624955,392353,1637023,25371.18
